data,ano,mes_num,mercado_codigo,mercado,cristo_redentor,pao_de_acucar
2024-01-01,2024,1,AR,Argentina,69,21
2024-01-01,2024,1,BR,Brasil,20,10
2024-01-01,2024,1,CL,Chile,70,43
2024-01-01,2024,1,CO,Colômbia,44,13
2024-01-01,2024,1,FR,França,82,14
2024-01-01,2024,1,US,Estados Unidos,68,6
2024-01-01,2024,1,UY,Uruguai,84,19
2024-01-01,2024,1,WORLD,Mundo,39,12
2024-02-01,2024,2,AR,Argentina,48,16
2024-02-01,2024,2,BR,Brasil,19,9
2024-02-01,2024,2,CL,Chile,66,42
2024-02-01,2024,2,CO,Colômbia,41,11
2024-02-01,2024,2,FR,França,85,17
2024-02-01,2024,2,US,Estados Unidos,75,8
2024-02-01,2024,2,UY,Uruguai,63,0
2024-02-01,2024,2,WORLD,Mundo,37,10
2024-03-01,2024,3,AR,Argentina,44,15
2024-03-01,2024,3,BR,Brasil,18,8
2024-03-01,2024,3,CL,Chile,59,28
2024-03-01,2024,3,CO,Colômbia,64,12
2024-03-01,2024,3,FR,França,87,15
2024-03-01,2024,3,US,Estados Unidos,80,8
2024-03-01,2024,3,UY,Uruguai,50,0
2024-03-01,2024,3,WORLD,Mundo,35,8
2024-04-01,2024,4,AR,Argentina,65,12
2024-04-01,2024,4,BR,Brasil,19,8
2024-04-01,2024,4,CL,Chile,60,20
2024-04-01,2024,4,CO,Colômbia,63,15
2024-04-01,2024,4,FR,França,83,13
2024-04-01,2024,4,US,Estados Unidos,76,8
2024-04-01,2024,4,UY,Uruguai,35,0
2024-04-01,2024,4,WORLD,Mundo,37,9
2024-05-01,2024,5,AR,Argentina,43,13
2024-05-01,2024,5,BR,Brasil,19,7
2024-05-01,2024,5,CL,Chile,74,22
2024-05-01,2024,5,CO,Colômbia,64,13
2024-05-01,2024,5,FR,França,82,14
2024-05-01,2024,5,US,Estados Unidos,92,7
2024-05-01,2024,5,UY,Uruguai,33,0
2024-05-01,2024,5,WORLD,Mundo,39,8
2024-06-01,2024,6,AR,Argentina,47,12
2024-06-01,2024,6,BR,Brasil,17,7
2024-06-01,2024,6,CL,Chile,65,20
2024-06-01,2024,6,CO,Colômbia,60,8
2024-06-01,2024,6,FR,França,70,14
2024-06-01,2024,6,US,Estados Unidos,63,6
2024-06-01,2024,6,UY,Uruguai,37,0
2024-06-01,2024,6,WORLD,Mundo,36,8
2024-07-01,2024,7,AR,Argentina,37,14
2024-07-01,2024,7,BR,Brasil,20,8
2024-07-01,2024,7,CL,Chile,65,26
2024-07-01,2024,7,CO,Colômbia,61,12
2024-07-01,2024,7,FR,França,78,17
2024-07-01,2024,7,US,Estados Unidos,58,7
2024-07-01,2024,7,UY,Uruguai,50,14
2024-07-01,2024,7,WORLD,Mundo,37,8
2024-08-01,2024,8,AR,Argentina,42,14
2024-08-01,2024,8,BR,Brasil,20,9
